N°de serie,Proyecto,Cliente,LDP,Fecha de fin estimada,Fecha de entrega estimada,Reprogramaciones de entrega estimada,Causas de reprogramación entrega estimada,Estado,Próximo estadío,Fecha estadío más próximo,Última fecha de entrega acordada con cliente,Registro de fechas de entrega acordada con cliente reprogramadas,Causas reprogramación entrega Cliente,Fecha de fin de equipo,Fecha de entrega final,Comentarios,Duración Planificada Fabricación,Fecha KOM (Inicio del proyecto),Fecha de entrega segun KOM,Cotizado Met,Cotizado Inox,Cotizado GyP,Cotizado Mont,Cotizado Mont E,Cotizado Total,Reales Met,Reales Inox,Reales GyP,Reales Montaje,Reales Montaje E,Reales Total,Retrasos Met,Retrasos Inox,Retrasos GyP,Retrasos Mont,Retrasos Mont E,Retrasos Total,Complejidad,KPI 1 : Hs Consumidas vs Cotizadas,KPI 2: Retraso vs Programación Inicial (días),Carga de LDPs,KPI 3: Presupuesto consumido,Carga Proyección,Comentarios
QM 2942,FRAC PUMP 2500 HP-QSK50-TA8091-QWS 2500,CALFRAC,Facundo Fernández,15/01/2026,15/01/2026,16/5/2025; 27/06/2025; 01/08/2025; 29/08/2025; 05/09/2025; 23/09/2025; 10/10/2025; 15/10/2025; 03/11/2025; 01/12/2025; 08/12/2025; 22/12/2025,Cliente no entrega componentes a tiempo;Cliente no entrega componentes a tiempo;Cliente no entrega componentes a tiempo;Cambios de diseño cliente;Falta capacidad bahia;Cliente retrasa prueba,Entregado,0,12/01/2026,26/01/2026,27/06/2025; 29/08/2025,"Cronograma previo a PO. El cliente se compromete a entregar componentes para cumplir con estas fechas, el cronograma se arma en base a estas condiciones. Cliente pide equipo con kit dual gas, y componentes demoran 90 días",13/01/2026,15/01/2026,0,160,,,1000,500,250,700,250,2700,918,171,178,879,202,2347,44,8,11,121,39,223,3,86.9%,244,0,0%,0,
ODS 1057,REBUILD FRAC PUMP SLB,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,,0,0%,0,
ODS 1059,REBUILD (SL4) SPF74307Y2039  AA401WT,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1088,REBUILD HIDRATION,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1092,Servicio de prueba de fracturador y reacondicionamiento general,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1099,Reparación de Equipo nitrogenero,ECOSTIM,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1108,REBUID PILETA,WTF,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1113,SERVICIO DE VACIO 2000 GAL,WTF,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1130,REBUILDING FRAC PUMP UF919+SEMI,SUPERIOR,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,,0,0%,0,
ODS 1131,REBUILDING FRAC PUMP UF920+SEMI,SUPERIOR,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,,0,0%,0,
ODS 1132,REBUILDING FRAC PUMP UF921+SEMI,SUPERIOR,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,,0,0%,0,
ODS 1133,REBUILDING FRAC PUMP UF922+SEMI,SUPERIOR,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,3,,,0,0%,0,
ODS 1157,Techo cubierta,SIEMENS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1174,MODIFICACION PILETA ME104,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1175,MODIFICACION PILETA ME003,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1176,MODIFICACION PILETA ME001,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1177,MODIFICACION PILETA ME002,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1178,MODIFICACION PILETA ME007,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1179,MODIFICACION PILETA ME036,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1180,MODIFICACION PILETA ME037,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1181,MODIFICACION PILETA ME046,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1182,MODIFICACION PILETA ME005,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1183,MODIFICACION PILETA ME101,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1186,REPARACION MANIFOLD TRAILER QM2417 - BAKER,BKR,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
